Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Забіла,Ірена,Сергіївна,Жіноча,05-07-1996,Флорист,село Одеса,"сквер Теофіла Фраєрмана, буд. 89, Звенигородка, 65350",309 00 15,siakovenko@example.org
Бабак,Валентин,Веніамінович,Чоловіча,29-08-1940,Гірник,хутір Овруч,"шосе Тараса Кузьміна, буд. 4 кв. 01, Березівка, 23123",735 75 67,parmen23@example.net
Малик,Мирослав,Сергійович,Чоловіча,20-04-1991,Фізик,село Вовчанськ,"набережна Новощіпний ряд, буд. 37 кв. 4, Бахчисарай, 21980",+380 09 450-62-57,olha06@example.net
Єресько,Мілена,Матвіївна,Жіноча,09-02-1971,Математик,місто Зимогір'я,"набережна Небесної Сотні, буд. 2 кв. 2, Роздільна, 89025",+380 20 314-19-92,verkhovynetstetiana@example.com
Кальченко,Гаврило,Федорович,Чоловіча,29-11-1996,Економіст,село Золотоноша,"парк Українських Героїв, буд. 4, Бахмач, 80747",730 89 93,stepanbairak@example.org
Гуцуляк,Богуслав,Борисович,Чоловіча,21-10-1945,Лікар,хутір Люботин,"узвіз Ігоря Іванова, буд. 075 кв. 8, Ланівці, 28176",093 007 43 32,pylyp09@example.net
Абраменко,Аврелій,Євгенович,Чоловіча,23-03-1989,Конструктор,село Берестин,"площа Бодаревського, буд. 04, Ямпіль, 79168",+380 20 274-23-97,danna68@example.com
Башполченко,Амвросій,Петрович,Чоловіча,07-07-1988,Дипломат,хутір Городенка,"сквер Андрія Сови, буд. 17 кв. 9, Полонне, 12002",+380 55 360-75-10,dhodunok@example.com
Свистун,Ростислав,Борисович,Чоловіча,05-01-1960,Гірник,хутір Бар,"набережна Бориса Дерев'янка, буд. 83 кв. 058, Скалат, 01517",849-68-22,hrechkovolodymyra@example.net
Пелех,Лариса,Веніамінівна,Жіноча,22-04-1977,Петрограф,хутір Радехів,"площа Басейний 1-й, буд. 36 кв. 701, Середина-Буда, 84700",706-85-71,riabetsieva@example.com
Михалюк,Роман,Костянтинович,Чоловіча,16-11-1995,Графік,селище Волочиськ,"проспект Митна, буд. 2, Рівне, 38759",+380 06 836-87-04,amaliia30@example.org
Лемешко,Стефан,Омелянович,Чоловіча,06-07-1981,Програміст,селище Дубляни,"парк Альтовий, буд. 319, Ворожба, 49164",+380 74 197 30 00,iakiv90@example.com
Лавренко,Яків,Павлович,Чоловіча,20-11-1939,Будник,селище Глухів,"узвіз Чернишевського, буд. 9, Волочиськ, 13682",061 981 40 34,vadymartymovych@example.net
Луценко,Дарина,Назарівна,Жіноча,19-04-2002,Біолог,село Монастирище,"парк Березовий, буд. 361 кв. 18, Красногорівка, 99401",+380 39 583-83-81,dzhunerika@example.net
Цушко,Тереза,Андріївна,Жіноча,27-11-1998,Дерун,селище Судова Вишня,"вулиця Климовича, буд. 3 кв. 2, Вашківці, 21787",+380 44 449-12-40,amaliiaazhazha@example.net
Міщенко,Богуслава,Омелянівна,Жіноча,03-08-1992,Правник,місто Глиняни,"парк Березовий, буд. 02, Решетилівка, 41602",+380 (50) 152-38-53,korsunvasyl@example.net
Ващенко-Захарченко,Ольга,Володимирівна,Жіноча,25-11-1978,Епідеміолог,місто Апостолове,"набережна 2-га Лінія 4-ї ст. Люстдорфської дороги, буд. 3, Славута, 54422",+380 73 874-45-46,jhavrylets@example.com
Дашкевич,Аліна,Матвіївна,Жіноча,31-07-2005,Штукатур,село Новомиргород,"площа Леся Курбаса, буд. 31 кв. 9, Бахмут, 64877",+380 (69) 831-22-40,olhasahal@example.net
Чекалюк,Віктор,Степанович,Чоловіча,27-05-1970,Фізик,місто Апостолове,"парк 18-та Лінія 6-й ст. Люстдорфської дороги, буд. 81, Охтирка, 25849",+380 78 397-23-69,feofankylymnyk@example.com
Годунок,Федір,Владиславович,Чоловіча,16-12-1964,Сантехнік,селище Ходорів,"сквер Ромашкова, буд. 223, Коломия, 56167",008 303-64-16,klavdiia99@example.org
Байда,Леонтій,Рустамович,Чоловіча,20-10-1986,Мірошник,місто Старобільськ,"вулиця Басейний 3-й, буд. 603 кв. 6, Валки, 98634",+380 (91) 915-08-77,teodordrozd@example.net
Кибкало,Богодар,Денисович,Чоловіча,05-11-1939,Юрист,селище Старий Самбір,"проспект Травневий 5-й, буд. 6, Алупка, 76007",031 009-15-95,artiushenkoanzhela@example.net
Ільченко,Аліна,Рустамівна,Жіноча,12-07-1964,Живописець,село Севастополь,"провулок Горбатий міст, буд. 48 кв. 0, Дубляни, 75652",947-60-54,xbandurka@example.net
Карпенко,Орися,Костянтинівна,Жіноча,14-03-1971,Льотчик,село Карлівка,"вулиця Шполянська, буд. 28 кв. 10, Лутугине, 22816",+380 76 259-58-82,cbabiak@example.com
Наливайко,Валерій,Веніамінович,Чоловіча,13-09-1988,Письменник,хутір Семенівка,"сквер Джинестрівська, буд. 3, Охтирка, 69890",025 499-63-80,stefan27@example.net
Самойленко,Борис,Леонідович,Чоловіча,14-05-1955,Ботанік,село Ніжин,"провулок Гранатний, буд. 15, Залізне, 03868",+380 86 560-56-85,semenshelest@example.com
Франко,Степан,Владиславович,Чоловіча,16-02-1966,Дипломат,селище Тетіїв,"узвіз Сирітський 2-й, буд. 975, Жидачів, 81158",+380 10 851 49 31,nataliiamatviienko@example.com
Гаврюшенко,Ольга,Михайлівна,Жіноча,14-05-1963,Шериф,хутір Гребінка,"парк Трудова, буд. 68, Яремче, 72809",+380 77 027 13 63,franchukolena@example.net
Назаренко,Олександр,Федорович,Чоловіча,13-10-2003,Єгер,село Полтава,"проспект Косовський, буд. 731 кв. 720, Збараж, 75880",978-25-84,upiatachenko@example.org
Архимович,Юхим,Андрійович,Чоловіча,23-12-1996,Правник,місто Радехів,"проспект Басейний 3-й, буд. 3 кв. 65, Яремче, 70748",007 716 95 93,lupiistepan@example.com
Литвин,Марія,Дмитрівна,Жіноча,21-03-1973,Різноробочий,хутір Гірник,"парк Музична, буд. 939, Токмак, 45342",063 350 20 36,mdeisun@example.net
Усик,Мартин,Артемович,Чоловіча,09-12-1953,Слідчий,місто Монастириська,"узвіз Промислова, буд. 44, Гайсин, 28740",+380 53 318 52 99,nandreiko@example.com
Палій,Леонтій,Богданович,Чоловіча,18-06-2007,Дизайнер,село Вуглегірськ,"сквер Селекційна, буд. 4, Вільногірськ, 01946",642 15 13,levko51@example.net
Яценюк,Онисим,Євгенович,Чоловіча,07-02-1983,Футболіст,місто Сокиряни,"набережна Рожева, буд. 6, Гуляйполе, 85797",+380 63 794-37-96,kadeniukles@example.com
Штепа,Оксана,Борисівна,Жіноча,05-01-1951,Бібліотекар,селище Рогатин,"шосе Просвіти, буд. 98, Зборів, 26304",193 88 57,olesdubenko@example.org
Алексеєнко,Данна,Андріївна,Жіноча,30-04-1996,Інженер,село Монастирище,"парк Добровольців, буд. 35, Донецьк, 40796",+380 67 359 31 24,trokhym25@example.net
Гаврилюк,Пріска,Дмитрівна,Жіноча,17-03-1946,Музичний редактор,селище Авдіївка,"проспект Осипова, буд. 819, Дубно, 32058",+380 92 631 93 33,abramenkotetiana@example.net
Литвин,Едуард,Леонідович,Чоловіча,29-11-1957,Паблік рилейшнз,місто Бершадь,"провулок Бродська, буд. 81 кв. 797, Обухів, 94248",046 117-44-74,bohodar55@example.org
Ватаманюк,Григорій,Михайлович,Чоловіча,13-02-1961,Фізик,село Галич,"проспект Немировича-Данченка, буд. 08 кв. 466, Дубровиця, 97326",848 48 70,liubov78@example.com
Наливайко,Марина,Борисівна,Жіноча,11-02-2007,Менеджер,селище Карлівка,"шосе Бузкова, буд. 2, Скалат, 63704",764 30 36,viktor23@example.com
Тичина,Мартин,Станіславович,Чоловіча,30-07-1967,Льотчик,хутір Мукачево,"сквер Тополина, буд. 3 кв. 64, Мелітополь, 44297",094 470 00 14,geregaarkadii@example.org
